¥éËCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 75816,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/19/85,,North Pacific Ocean,,,Japan,,,,"Iheya, Erabu Iwa",27.025,127.9,,,,,,,27.00,,,,,,Original Number : OK0143KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/357bc9d20-003d-42d8-bff5-0f04c921913e
USNM 75820,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/19/85,,North Pacific Ocean,,,Japan,,,,"Iheya, Erabu Iwa",27.025,127.9,,,,,,,23.00,,,,,,Original Number : OK0148KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/396162a88-01c0-411b-93aa-a02c9d2dfd1d
USNM 75854,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 1483,"Bolland, R. F.",6/29/89,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,40.00,,,,BOLLAND/RFB 1483,,Original Number : OK0186KM,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3e05c0f52-b55c-4fea-8d28-2d77c9480265
USNM 75879,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",11/24/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Oku",26.85,128.292,,,,,,,29.00,,,,,,Original Number : OK0215KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/39c98ee75-92a6-45e6-aa52-66a2bbf5dfc3
USNM 75895,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 0961,"Bolland, R. F.",11/12/85,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,64.00,,,,BOLLAND/RFB 0961,,Original Number : OK0234RB,350091,,,,,,,,5/11/20 17:33,http://n2t.net/ark:/65665/362a553f6-37d8-498c-a010-709fc3b19396
USNM 75927,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",6/6/86,,North Pacific Ocean,,,Japan,,,,"Amamioshima, Monsaki",28.17,129.17,,,,,,,30.00,,,,,,Original Number : OK0278KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/31fe1be02-e5f4-4a41-acb6-edf3624c86ed
USNM 75976,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/19/86,,North Pacific Ocean,,,Japan,,,,"Iriomote, Indabishi",24.42,123.83,,,,,,,21.50,,,,,,Original Number : OK0338KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3c4319e57-5984-45ba-97ac-1f1b2641940d
USNM 75985,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/20/86,,North Pacific Ocean,,,Japan,,,,"Iriomote, Sakiyama",24.3,123.65,,,,,,,25.00,,,,,,Original Number : OK0350KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3f1839d70-47cb-428b-9d52-4e231dc7000f
USNM 76020,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",8/30/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Adakajima",26.75,128.33,,,,,,,25.00,,,,,,Original Number : OK0399KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ad33982b-2fa6-4de2-8c81-9f6d16c99a93
USNM 76023,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/19/86,,North Pacific Ocean,,,Japan,,,,"Iriomote, Indabishi",24.42,123.83,,,,,,,18.50,,,,,,Original Number : OK0324KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3269ade4e-8bc1-4652-ace8-897b61cbc585
USNM 76028,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/2/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Sesoko Island",26.63,127.85,,,,,,,22.00,,,,,,Original Number : OK0405KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/366825b4f-1029-4929-912e-e609eed5f1a3
USNM 76032,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuroshima",26.25,127.4,,,,,,,23.00,,,,,,Original Number : OK0411KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3ecdc55cd-a381-4f3b-a1ca-982bf1f85e81
USNM 76038,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Tokashiki",26.2083,127.37,,,,,,,23.00,,,,,,Original Number : OK0417KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3b7834896-2231-4247-b62b-ca152c338511
USNM 76049,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Tokashiki",26.2083,127.37,,,,,,,23.00,,,,,,Original Number : OK0428KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/39e038549-3acc-48bf-8718-bf8860c10cf1
USNM 76050,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/19/86,,North Pacific Ocean,,,Japan,,,,"Kerama, Tokashiki",26.2083,127.37,,,,,,,23.00,,,,,,Original Number : OK0430KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3b1946b71-241a-47b0-89fe-530ffc494035
USNM 76057,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/20/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Bise",26.7,127.87,,,,,,,20.00,,,,,,Original Number : OK0437KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/311723373-f260-405d-9565-e131f8ea5218
USNM 76072,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",9/28/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Onna Island",26.5,127.848,,,,,,,22.00,,,,,,Original Number : OK0455KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/38543bc34-2bce-4837-90d9-44f71808fe55
USNM 76102,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",10/4/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Adakajima",26.73,128.35,,,,,,,26.00,,,,,,Original Number : OK0487KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/30d2ade21-ab28-4c00-b11a-c7469f85cba8
USNM 76107,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",12/30/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Nakanose",26.7,127.8,,,,,,,15.00,,,,,,Original Number : OK0494KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3c5fe643a-b5aa-4a08-b425-9a3ca2a98af2
USNM 76131,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1/1/87,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.7,127.83,,,,,,,21.00,,,,,,Original Number : OK0519KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/34703e11e-0299-4012-abc9-16770bdb9237
USNM 76133,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/21/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Tonbara Iwa",26.27,126.825,,,,,,,28.00,,,,,,Original Number : OK0521KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/30f6a4955-2664-4d47-9963-25c4a8ea0fd6
USNM 76135,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/21/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Tonbara Iwa",26.27,126.825,,,,,,,28.00,,,,,,Original Number : OK0523KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/38a08448a-8311-4356-9f61-b979ce0e059a
USNM 76150,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/22/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Mifuga",26.3917,126.758,,,,,,,33.00,,,,,,Original Number : OK0537KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3fc3dbe68-a0e6-4ea8-9d92-5d934dbdaeb5
USNM 76151,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/22/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Mifuga",26.3917,126.758,,,,,,,33.00,,,,,,Original Number : OK0540KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/36be6bb94-dafa-4850-9a42-f37451af6c43
USNM 76153,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/22/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Mifuga",26.3917,126.758,,,,,,,33.00,,,,,,Original Number : OK0541KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/35e6e572e-b10c-4ced-a233-ea9ed79a24d0
USNM 76159,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",4/22/87,,North Pacific Ocean,,,Japan,,,,"Kumejima, Mifuga",26.3917,126.758,,,,,,,30.00,,,,,,Original Number : OK0549KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/31595396c-3f52-4d00-afad-82d01d419c7d
USNM 76202,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",5/5/87,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuba",26.17,127.25,,,,,,,15.00,,,,,,Original Number : OK0608KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/39fe22575-ae32-4fb8-b9b4-ab7307ea4446
USNM 76203,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",5/5/87,,North Pacific Ocean,,,Japan,,,,"Kerama, Kuba",26.17,127.25,,,,,,,15.00,,,,,,Original Number : OK0609KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/31531daaf-8107-4c7d-b176-d79aebf1a1cc
USNM 76217,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/7/87,,North Pacific Ocean,,,Japan,,,,"Miyako, Irabu, Shiratori",24.85,125.15,,,,,,,34.00,,,,,,Original Number : OK0624KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/31c702346-41f0-46d4-9296-dd359f1ee661
USNM 76218,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/7/87,,North Pacific Ocean,,,Japan,,,,"Miyako, Irabu, Shiratori",24.85,125.15,,,,,,,32.00,,,,,,Original Number : OK0625KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/37dc82c1b-c8fe-481d-a810-d8278fc47556
USNM 76219,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/7/87,,North Pacific Ocean,,,Japan,,,,"Miyako, Irabu, Shiratori",24.85,125.15,,,,,,,32.00,,,,,,Original Number : OK0626KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3e87c0fff-8348-4ff6-8fe0-469641f5c71f
USNM 76234,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",12/11/87,,North Pacific Ocean,,,Japan,,,,"Kerama, Higashi Gahi",26.22,127.28,,,,,,,,,,,,,Original Number : OK0642KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/367f41f24-be53-49d9-a291-728cdd498145
USNM 76246,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1/2/88,,North Pacific Ocean,,,Japan,,,,"Kerama, Kita Gahi",26.22,127.3,,,,,,,18.00,,,,,,Original Number : OK0655KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/33063df45-44bd-41bb-a59d-c7ca43baba68
USNM 76268,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",1/3/88,,North Pacific Ocean,,,Japan,,,,"Kerama, Kita Gahi",26.22,127.205,,,,,,,33.00,,,,,,Original Number : OK0677KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/34da94f0b-03ed-4e63-97ae-9367f6d0195d
USNM 77503,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",11/17/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Ani Shima, Botono Asane",27.1,142.2,,,,,,,22.00,,,,,,Original Number : OG0062KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/3c56a78a0-f2ef-4c3a-a971-c919895a7426
USNM 77512,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",7/6/85,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.73,127.75,,,,,,,30.00,,,,,,Original Number : OK0806KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/378dbfb5d-36ba-4e77-973e-79c66840eb91
USNM 77515,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Muzik, K.",6/4/86,,North Pacific Ocean,,,Japan,,,,"Amamioshima, Shigibama",28.17,129.33,,,,,,,20.00,,,,,,Original Number : OK0807KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/390027887-cee6-4cc2-92f7-4e33a9048d29
USNM 77516,Specimen/Lot,Acalycigorgia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Acalycigorgia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,,"Muzik, K.",11/14/86,,North Pacific Ocean,,,Japan,,,,"Bonin Islands, Chichi Jima, Miyanohama",27.1,142.2,,,,,,,15.00,,,,,,Original Number : OG0001KM,350091,,,,,,,,5/11/20 17:36,http://n2t.net/ark:/65665/38a783487-26de-44fb-9e6a-42dea39ba734
