´ŽèCatalog Number,Kind of Object,Scientific Name,Family,Phylum,Class,Order,Identified By,Date Identified,Current Identification,Other Identifications,Type Status,Type Citations,Kind of Voucher,Classification,Common Name,Collection Name,Specimen Count,Sex and Stage,Preparation,Station Number,Collector(s),Date Collected,Collection Method,Ocean,Sea/Gulf,Bay/Sound,Country,Province/State,District/County,City/Town,Precise Locality,Centroid Latitude,Centroid Longitude,Elevation (m),Expedition Name,Vessel,Cruise,River Basin,Microhabitat Description,Depth (m),Depth Notes,Geologic Age,Notes,Field Number(s),GenBank Numbers,Other Numbers (Type : Value),Accession Number,Genetic Sample Type,Biorepository Number,Specimen Voucher Number,Bold ID,Preservation Method,Embargo?,Depleted?,Record Last Modified,EZID
USNM 1249963,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,,,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,2,,Dry; Dry,269C,,12/4/67,,Indian Ocean,"Arabian Sea, Gulf of Oman",,Oman,,,,Muscat,23.58,58.82,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,4B,,,124.00,,,,,,collector number : LC-20,,,,,,,,,10/9/18 17:16,http://n2t.net/ark:/65665/3feba18df-252d-418a-8fbb-f1ed3b8cc751
USNM 1439540,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",2016,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5,"Grigg, R. W.; Eldredge, L. G.",10/25/77,Dredge,North Pacific Ocean,,,Northern Mariana Islands,,,,"Rota Island, Rota Banks",13.81,144.96,,,Panglou Oro R/V,,,,298.00,,,,,,,2079514,,,,,,,,2/11/21 14:35,http://n2t.net/ark:/65665/37ba23f38-8a88-490f-83fb-4f7f6043afd7
USNM 1439541,,Muricella sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Cairns, Stephen D., (IZ), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",2016,Muricella sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),5,"Grigg, R. W.; Eldredge, L. G.",10/25/77,Dredge,North Pacific Ocean,,,Northern Mariana Islands,,,,"Rota Island, Rota Banks",13.81,144.96,,,Panglou Oro R/V,,,,298.00,,,,,,,2079514,,,,,,,,2/11/21 14:36,http://n2t.net/ark:/65665/3e2476a86-96db-4572-b25b-40ae0cc6c9b2
USNM 43164,,"Versluysia ceylonensis (Thomson & Henderson, 1905)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Versluysia ceylonensis (Thomson & Henderson, 1905) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),50,,04/16/1899,,South Pacific Ocean,Flores Sea,,Indonesia,Lesser Sunda Islands,,,"Flores Island, Bay Of Badjo",,,,Siboga Expedition,Siboga R/V,,,"Sand, mud and shells",37.00,,,,,,,131487,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3060726d3-d054-4309-b908-bd277558be17
USNM 43091,,"Versluysia dentata Nutting, 1910",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Versluysia dentata Nutting, 1910 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Syntype,"Nutting. 1910. Siboga Exped. 13 (part b3): 38,39, pl. 6, fig. 3,3a, pl. 20, fig. 2.",Schizotype,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),166,,22 Aug 1899,,South Pacific Ocean,Ceram Sea,,Indonesia,Moluccas,,,"Ceram Island, NE Of Bula",-2.475,131.055,,Siboga Expedition,Siboga R/V,,,,118.00,,,,,,,131487,,,,,,,,1/15/17 18:07,http://n2t.net/ark:/65665/3f0007149-0b02-4640-b494-1e53be491aec
USNM 30118,,"Versluysia ramosa (Thomson & Henderson, 1905)",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Versluysia ramosa (Thomson & Henderson, 1905) : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),4893,United States Fish Commission,8/10/10,tangle swabs,North Pacific Ocean,East China Sea,,Japan,,,,"Goto Islands, Fukue Island, South of",32.5333,128.547,,Northwestern Pacific Expedition,Albatross R/V,,,,194.00,,,,USFC/A4893,,,51381,,,,,,,,7/1/19 15:10,http://n2t.net/ark:/65665/3dbac48eb-1bd8-49b5-9323-ad7c19540314
USNM 91920,,"Versluysia rosea Nutting, 1910",Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C.",,"Versluysia rosea Nutting, 1910 : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria",,Syntype,Siboga Expeditie. 13(part 3b): 37-38.,Schizotype,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),204,,09/20/1899,,South Pacific Ocean,,,Indonesia,Sulawesi,,,"Greater Sunda Islands, Celebes Island, Wowoni Strait, Entrance To Strait, Between Wowoni And Butung Islands",-4.33,122.97,,Siboga Expedition,Siboga R/V,,,,94.00,,,,,,,392622,,,,,,,,10/21/18 13:28,http://n2t.net/ark:/65665/3f4f4dae4-d7e9-4e57-ac6d-e9fcb872225f
USNM 75582,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Alcohol (Ethanol),,Ts,5/7/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Iejima",26.72,127.75,,,,,,,330.00,,,,,,Original Number : OK0252TS,350091,,,,,,,,5/11/20 17:32,http://n2t.net/ark:/65665/3ffc21694-03fa-402a-9e16-f44c3c0fe689
USNM 75911,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Muzik, Katherine, (UNITED STATES)",,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,Ts,2/5/86,,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island",26.75,127.83,,,,,,,250.00,,,,,,Original Number : OK0249TS,350091,,,,,,,,5/11/20 17:33,http://n2t.net/ark:/65665/394682f5d-37d9-4f91-8398-589907453b2a
USNM 87587,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Jun-94,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 1129,"Bolland, R. F.",3/26/88,Scuba - Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,61.00,,,,BOLLAND/RFB 1129,,,381691,,,,,,,,10/21/18 13:03,http://n2t.net/ark:/65665/34469d05d-4b9e-4e8e-ad7b-b90f09643c2d
USNM 87588,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Jun-94,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Dry,RFB 1136,"Bolland, R. F.",4/19/88,Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,64.00,,,,BOLLAND/RFB 1136,,,381691,,,,,,,,10/21/18 13:03,http://n2t.net/ark:/65665/39c054f2f-a52c-4146-9760-9e9b7a21ecab
USNM 87589,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Jun-94,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 1147,"Bolland, R. F.",4/26/88,Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,67.00,,,,BOLLAND/RFB 1147,,,381691,,,,,,,,10/21/18 13:03,http://n2t.net/ark:/65665/38e6eb2a2-c8e6-416b-908e-7861ea0dc360
USNM 87590,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",Jun-94,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,RFB 1151,"Bolland, R. F.",4/30/88,Hand,North Pacific Ocean,,,Japan,Okinawa,,,"Ryukyu Islands, Okinawa Island, Horseshoe Cliffs, 1 Km WNW of Onna Village",26.5,127.848,,,,,,,61.00,,,,BOLLAND/RFB 1151,,,381691,,,,,,,,10/21/18 13:03,http://n2t.net/ark:/65665/39c7f2680-ea2a-4ab7-84a7-f80cd5d6e828
USNM 91967,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Bayer, Frederick M., Smithsonian Institution, National Museum of Natural History",,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1 ca.,,Dry,,"Messing, C. G.",7/20/95,,South Pacific Ocean,,,Papua New Guinea,,,,"Rash Passage, East Of Madang",,,,,,,,,49.00,,,,,,,401503,,,,,,,,10/21/18 13:28,http://n2t.net/ark:/65665/3ce058cea-f27a-4682-a559-2810a59380bb
USNM 1075341,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"van Ofwegen, Leen P.",,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),445,,12/17/68,Trawl,Indian Ocean,,,Somalia,,,,SW Of Ras Binnah,9.68,51.05,,IIOE - International Indian Ocean Expedition,Anton Bruun R/V,9,,,70.00,,,,,,,260812,,,,,,,,1/15/17 18:11,http://n2t.net/ark:/65665/3919b3733-3104-42d6-a060-08a49333fe09
USNM 1199699,,Versluysia sp.,Acanthogorgiidae,Cnidaria,Anthozoa,Gorgonacea,"Nutting, C. C., State University Of Iowa",,Versluysia sp. : Acanthogorgiidae : Gorgonacea : Anthozoa : Cnidaria,,,,,"Animalia, Cnidaria, Anthozoa, Octocorallia, Gorgonacea, Holaxonia, Acanthogorgiidae",Octocorals,,1,,Alcohol (Ethanol),51,"Henderson, J. B.",5/28/22,Dredge,North Atlantic Ocean,Caribbean Sea,,Barbados,,,,"Pelican Island, 0.5 Mile NW Of",13.17,-59.53,,University of Iowa Barbados - Antigua Expedition,Sloop Resolute,,,,60.00,,,,,,,,,,,,,,,6/19/17 19:10,http://n2t.net/ark:/65665/3ee0f7bef-de74-4519-b127-a0c12fda0323
